epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.977,0.99117,1.7977,1.1518,0.49731,0.50505,0.502,0.32928,1.20812,1.4394,1.44016,0.000300342,0.000300342,0.000300342
2,185.008,1.03605,1.25599,1.1928,0.53975,0.50406,0.51937,0.34408,1.18455,1.64601,1.38233,0.00059936,0.00059936,0.00059936
3,258.226,1.07,1.219,1.20607,0.59853,0.47013,0.50301,0.3243,1.24705,1.81815,1.50145,0.000894378,0.000894378,0.000894378
4,333.115,1.07642,1.20646,1.20737,0.53694,0.53371,0.50232,0.31864,1.3013,1.88024,1.5328,0.000891002,0.000891002,0.000891002
5,406.236,1.03301,1.129,1.18075,0.69316,0.56946,0.63744,0.43602,1.04686,1.13305,1.23269,0.000885002,0.000885002,0.000885002
6,479.894,1.029,1.08245,1.18307,0.70253,0.59295,0.65035,0.43782,1.07153,1.18494,1.26206,0.000879003,0.000879003,0.000879003
7,553.355,0.99247,1.03589,1.15507,0.67753,0.58416,0.64884,0.4531,1.03332,1.08925,1.22816,0.000873004,0.000873004,0.000873004
8,628.725,0.98221,0.97897,1.1466,0.73279,0.62183,0.70879,0.50647,0.95391,0.97197,1.17376,0.000867004,0.000867004,0.000867004
9,702.9,0.9667,0.98146,1.15278,0.76183,0.63218,0.70775,0.49621,0.99318,1.02052,1.23309,0.000861005,0.000861005,0.000861005
10,776.782,0.96017,0.92972,1.13567,0.75299,0.69423,0.75307,0.54,0.92371,0.84357,1.14313,0.000855005,0.000855005,0.000855005
11,849.798,0.93455,0.89915,1.12504,0.78627,0.63532,0.70836,0.49981,0.98448,1.03183,1.19568,0.000849006,0.000849006,0.000849006
12,923.37,0.92656,0.87392,1.1247,0.80176,0.6942,0.78346,0.56883,0.8971,0.74509,1.13714,0.000843007,0.000843007,0.000843007
13,999.385,0.91827,0.85694,1.10867,0.78946,0.68468,0.76884,0.5578,0.90827,0.77791,1.13141,0.000837007,0.000837007,0.000837007
14,1073.55,0.91416,0.83779,1.10496,0.77851,0.67021,0.75298,0.53977,0.94886,0.83981,1.14421,0.000831008,0.000831008,0.000831008
15,1146.14,0.90676,0.82108,1.11176,0.83826,0.70565,0.7909,0.57677,0.91052,0.77174,1.13758,0.000825008,0.000825008,0.000825008
16,1219.3,0.88766,0.79629,1.10273,0.79663,0.70258,0.786,0.57716,0.88228,0.74721,1.10243,0.000819009,0.000819009,0.000819009
17,1294.21,0.89776,0.80457,1.1025,0.80583,0.69673,0.78563,0.57898,0.88577,0.77203,1.11711,0.00081301,0.00081301,0.00081301
18,1368.38,0.88834,0.78238,1.09016,0.79568,0.70991,0.78619,0.58278,0.87944,0.71061,1.10559,0.00080701,0.00080701,0.00080701
19,1443.47,0.88573,0.76398,1.09159,0.81653,0.72149,0.80304,0.5983,0.87538,0.73153,1.10676,0.000801011,0.000801011,0.000801011
20,1517.28,0.87987,0.75413,1.08508,0.80569,0.70399,0.78717,0.591,0.84284,0.71486,1.07914,0.000795011,0.000795011,0.000795011
21,1593.13,0.86226,0.73381,1.08065,0.80588,0.71312,0.79965,0.58719,0.88768,0.73751,1.10895,0.000789012,0.000789012,0.000789012
22,1667.72,0.8542,0.72726,1.07742,0.83165,0.72016,0.80287,0.59898,0.86072,0.7082,1.07994,0.000783013,0.000783013,0.000783013
23,1742.65,0.8488,0.72692,1.08127,0.83291,0.72906,0.81536,0.60693,0.84602,0.66945,1.08364,0.000777013,0.000777013,0.000777013
24,1816.04,0.84693,0.70586,1.07039,0.82247,0.72496,0.81298,0.60593,0.85228,0.68528,1.07786,0.000771014,0.000771014,0.000771014
25,1889.2,0.84237,0.70186,1.07054,0.79138,0.72835,0.80543,0.59899,0.85243,0.68682,1.08075,0.000765014,0.000765014,0.000765014
26,1963.3,0.82623,0.69473,1.06343,0.82807,0.7519,0.82492,0.6207,0.83307,0.63676,1.07843,0.000759015,0.000759015,0.000759015
27,2036.79,0.84872,0.70298,1.07357,0.83572,0.75034,0.8267,0.62086,0.84672,0.65222,1.08511,0.000753016,0.000753016,0.000753016
28,2111.4,0.82303,0.67536,1.05817,0.85084,0.74894,0.83586,0.62786,0.8378,0.64602,1.0695,0.000747016,0.000747016,0.000747016
29,2184.45,0.82128,0.67589,1.05412,0.85905,0.73392,0.83165,0.6294,0.82011,0.6364,1.06117,0.000741017,0.000741017,0.000741017
30,2259.52,0.82527,0.67605,1.05909,0.8432,0.75475,0.83135,0.62029,0.84972,0.6353,1.06722,0.000735017,0.000735017,0.000735017
31,2332.9,0.81755,0.6606,1.05852,0.81674,0.76296,0.83808,0.62796,0.81223,0.60723,1.06206,0.000729018,0.000729018,0.000729018
32,2406.51,0.8163,0.65494,1.0566,0.86815,0.74382,0.84444,0.63545,0.82833,0.61127,1.06461,0.000723019,0.000723019,0.000723019
33,2480.15,0.81121,0.63963,1.05127,0.85244,0.7591,0.83632,0.6365,0.80769,0.6145,1.0504,0.000717019,0.000717019,0.000717019
34,2553.81,0.80696,0.65165,1.04873,0.83531,0.75924,0.8371,0.63031,0.81702,0.61894,1.06071,0.00071102,0.00071102,0.00071102
35,2629.12,0.80193,0.63324,1.04787,0.84412,0.76275,0.84563,0.64207,0.79506,0.6038,1.0408,0.00070502,0.00070502,0.00070502
36,2702.51,0.7926,0.61926,1.04207,0.85117,0.74771,0.84442,0.63814,0.79881,0.63989,1.04038,0.000699021,0.000699021,0.000699021
37,2776.79,0.80433,0.61937,1.04165,0.84915,0.78245,0.85751,0.65082,0.79833,0.58528,1.03688,0.000693022,0.000693022,0.000693022
38,2851.71,0.78656,0.60279,1.04107,0.85349,0.76054,0.84374,0.64152,0.80663,0.60302,1.04252,0.000687022,0.000687022,0.000687022
39,2926.79,0.78448,0.60293,1.0396,0.85138,0.77388,0.84583,0.64052,0.81269,0.5891,1.04626,0.000681023,0.000681023,0.000681023
40,3000.67,0.78215,0.59384,1.03398,0.84064,0.75924,0.84479,0.6455,0.79048,0.57828,1.02801,0.000675023,0.000675023,0.000675023
41,3074.6,0.78196,0.60134,1.03135,0.8606,0.75961,0.84986,0.6494,0.78441,0.57844,1.03839,0.000669024,0.000669024,0.000669024
42,3150.07,0.77494,0.5865,1.03039,0.85299,0.78229,0.85752,0.65227,0.79103,0.5656,1.03508,0.000663025,0.000663025,0.000663025
43,3225.59,0.76774,0.58503,1.03342,0.85276,0.79212,0.85871,0.65153,0.78584,0.56413,1.02415,0.000657025,0.000657025,0.000657025
44,3300.88,0.76533,0.58064,1.02875,0.86068,0.78618,0.85827,0.65682,0.78262,0.55625,1.03038,0.000651026,0.000651026,0.000651026
45,3374.31,0.76226,0.57769,1.02607,0.88066,0.79005,0.86797,0.6603,0.77034,0.5533,1.0196,0.000645026,0.000645026,0.000645026
46,3447.15,0.76853,0.56795,1.02589,0.86756,0.77274,0.85744,0.65222,0.77714,0.56812,1.03525,0.000639027,0.000639027,0.000639027
47,3520.47,0.75136,0.56421,1.02582,0.83913,0.78796,0.85552,0.64911,0.78632,0.57015,1.02921,0.000633028,0.000633028,0.000633028
48,3596.05,0.7608,0.56378,1.02347,0.83504,0.78028,0.85232,0.65484,0.76684,0.57133,1.02782,0.000627028,0.000627028,0.000627028
49,3669.25,0.76506,0.56554,1.01772,0.84984,0.79882,0.86205,0.65723,0.77551,0.56571,1.02837,0.000621029,0.000621029,0.000621029
50,3742.35,0.74715,0.54283,1.01732,0.87214,0.77032,0.85773,0.6572,0.79539,0.57111,1.0431,0.000615029,0.000615029,0.000615029
51,3814.79,0.75285,0.54163,1.01251,0.87602,0.77681,0.86323,0.66545,0.77776,0.55844,1.02847,0.00060903,0.00060903,0.00060903
52,3887.27,0.73795,0.53017,1.018,0.85791,0.79203,0.86117,0.66188,0.76883,0.56069,1.02004,0.000603031,0.000603031,0.000603031
53,3962.67,0.75003,0.54482,1.01599,0.84398,0.79537,0.86671,0.66331,0.77621,0.55076,1.02812,0.000597031,0.000597031,0.000597031
54,4036.79,0.74445,0.53864,1.0105,0.86372,0.80396,0.86796,0.66728,0.75841,0.53182,1.0179,0.000591032,0.000591032,0.000591032
55,4109.85,0.73843,0.53493,1.01199,0.85691,0.80622,0.87072,0.66993,0.76807,0.54036,1.02053,0.000585032,0.000585032,0.000585032
56,4183.11,0.73467,0.52646,1.01238,0.86261,0.81126,0.87231,0.6718,0.7806,0.52774,1.0374,0.000579033,0.000579033,0.000579033
57,4257.46,0.72787,0.51995,1.00489,0.87338,0.80576,0.87848,0.67155,0.77634,0.54475,1.01926,0.000573034,0.000573034,0.000573034
58,4330.84,0.73304,0.52095,1.00347,0.87043,0.80951,0.87062,0.6696,0.76239,0.52948,1.02252,0.000567034,0.000567034,0.000567034
59,4403.9,0.72317,0.51248,1.00036,0.88291,0.80387,0.88088,0.67962,0.76587,0.50622,1.01307,0.000561035,0.000561035,0.000561035
60,4477.77,0.72604,0.52023,1.00514,0.86177,0.80521,0.87512,0.67454,0.77232,0.53036,1.02723,0.000555035,0.000555035,0.000555035
61,4551.97,0.71831,0.50217,1.00035,0.84918,0.80208,0.87368,0.671,0.76191,0.53153,1.00825,0.000549036,0.000549036,0.000549036
62,4625.6,0.71172,0.49939,0.99745,0.86783,0.81,0.87391,0.67287,0.76988,0.53205,1.01846,0.000543037,0.000543037,0.000543037
63,4698.73,0.72125,0.50494,0.99617,0.87046,0.81568,0.87774,0.67872,0.75426,0.5122,1.01185,0.000537037,0.000537037,0.000537037
64,4772.06,0.70276,0.49448,0.99538,0.88338,0.81469,0.88262,0.68411,0.75286,0.50559,1.01135,0.000531038,0.000531038,0.000531038
65,4845.74,0.71262,0.50223,1.00113,0.84843,0.822,0.87845,0.68229,0.7461,0.51288,1.00242,0.000525038,0.000525038,0.000525038
66,4920.88,0.69921,0.4843,0.9917,0.89334,0.7904,0.87805,0.68279,0.74879,0.50621,1.00751,0.000519039,0.000519039,0.000519039
67,4994.47,0.71185,0.49398,0.99324,0.85575,0.8043,0.872,0.67175,0.76314,0.53277,1.01185,0.00051304,0.00051304,0.00051304
68,5067.29,0.70093,0.48556,0.98938,0.86032,0.81544,0.87685,0.67819,0.74411,0.51306,0.99742,0.00050704,0.00050704,0.00050704
69,5140.19,0.70136,0.48513,0.98586,0.85954,0.80957,0.8735,0.67609,0.75808,0.5191,1.00799,0.000501041,0.000501041,0.000501041
70,5213.96,0.6979,0.4836,0.99013,0.85062,0.81447,0.8735,0.67726,0.74276,0.52245,1.00165,0.000495041,0.000495041,0.000495041
71,5287.05,0.70722,0.48802,0.98876,0.867,0.78736,0.86285,0.66841,0.75049,0.53827,1.01158,0.000489042,0.000489042,0.000489042
72,5361.25,0.68804,0.47689,0.98521,0.87916,0.78555,0.86632,0.67092,0.75508,0.52181,1.02084,0.000483043,0.000483043,0.000483043
73,5434.95,0.68585,0.47157,0.98637,0.8696,0.81485,0.87551,0.67777,0.74709,0.51726,1.01442,0.000477043,0.000477043,0.000477043
74,5508.13,0.68775,0.46791,0.99026,0.8812,0.80828,0.87877,0.68182,0.7493,0.50437,1.00798,0.000471044,0.000471044,0.000471044
75,5582.64,0.68432,0.47144,0.97904,0.87439,0.79647,0.87505,0.67966,0.73986,0.52014,1.00016,0.000465044,0.000465044,0.000465044
76,5656.18,0.67163,0.4653,0.97561,0.86342,0.80872,0.87448,0.68062,0.73358,0.51491,0.99565,0.000459045,0.000459045,0.000459045
77,5729.59,0.68017,0.46335,0.98501,0.86535,0.80927,0.87653,0.68133,0.74652,0.52655,1.00036,0.000453046,0.000453046,0.000453046
78,5802.16,0.67786,0.45413,0.98094,0.8655,0.81829,0.87985,0.6847,0.75495,0.51529,1.01602,0.000447046,0.000447046,0.000447046
79,5875.16,0.67166,0.45545,0.98164,0.86718,0.81069,0.88035,0.68721,0.73842,0.51558,0.99806,0.000441047,0.000441047,0.000441047
80,5947.42,0.6733,0.4496,0.97762,0.86602,0.81248,0.87406,0.68018,0.7375,0.51302,0.99778,0.000435047,0.000435047,0.000435047
81,6019.61,0.67111,0.46334,0.97866,0.8777,0.81922,0.87984,0.68557,0.74749,0.5047,1.00411,0.000429048,0.000429048,0.000429048
82,6092.08,0.66739,0.44033,0.97268,0.88612,0.82073,0.87789,0.68444,0.7421,0.5058,0.99627,0.000423049,0.000423049,0.000423049
83,6163.97,0.66187,0.45001,0.9704,0.87138,0.8176,0.88257,0.68708,0.75217,0.50401,1.0111,0.000417049,0.000417049,0.000417049
84,6236.91,0.65246,0.43275,0.97158,0.86785,0.82444,0.88187,0.68651,0.73324,0.49013,0.99825,0.00041105,0.00041105,0.00041105
85,6309.02,0.66159,0.44207,0.97174,0.87954,0.82474,0.88515,0.68952,0.73932,0.48774,1.00565,0.00040505,0.00040505,0.00040505
86,6381.02,0.65356,0.43332,0.97187,0.8868,0.82463,0.88487,0.6898,0.74264,0.49892,0.99933,0.000399051,0.000399051,0.000399051
87,6453.5,0.65785,0.43994,0.96611,0.87667,0.8095,0.88067,0.68492,0.74909,0.50638,1.00347,0.000393052,0.000393052,0.000393052
88,6526.7,0.65087,0.42275,0.96542,0.88289,0.81033,0.8835,0.68796,0.75186,0.49436,1.01357,0.000387052,0.000387052,0.000387052
89,6599.23,0.64903,0.43223,0.96439,0.87626,0.80642,0.87633,0.6823,0.74537,0.51132,1.00371,0.000381053,0.000381053,0.000381053
90,6671.28,0.6488,0.43199,0.96536,0.87701,0.81187,0.87889,0.68137,0.74254,0.515,1.00028,0.000375053,0.000375053,0.000375053
91,6743.53,0.63836,0.4241,0.96235,0.88998,0.81642,0.8824,0.68768,0.73525,0.50305,0.99319,0.000369054,0.000369054,0.000369054
92,6816.95,0.63303,0.41377,0.95806,0.88663,0.81281,0.88075,0.68708,0.73496,0.49519,0.99793,0.000363055,0.000363055,0.000363055
93,6888.84,0.63385,0.41826,0.95994,0.88782,0.82065,0.88345,0.68924,0.73017,0.49347,0.98913,0.000357055,0.000357055,0.000357055
94,6960.94,0.63467,0.4202,0.96561,0.8941,0.81986,0.88569,0.68694,0.73328,0.50102,0.99101,0.000351056,0.000351056,0.000351056
95,7032.54,0.62899,0.41467,0.95997,0.88494,0.82278,0.88294,0.68825,0.73212,0.49421,0.99495,0.000345056,0.000345056,0.000345056
96,7104.32,0.62593,0.40953,0.9584,0.86755,0.83335,0.88851,0.68907,0.73867,0.49055,1.002,0.000339057,0.000339057,0.000339057
97,7176.95,0.62187,0.40055,0.95636,0.87846,0.81967,0.88508,0.68702,0.74525,0.50685,1.01284,0.000333058,0.000333058,0.000333058
98,7248.43,0.63715,0.41573,0.96188,0.88613,0.82007,0.88609,0.68735,0.74895,0.50683,1.00513,0.000327058,0.000327058,0.000327058
99,7321.14,0.62053,0.40428,0.95546,0.89052,0.81715,0.88497,0.68823,0.74826,0.49641,1.01134,0.000321059,0.000321059,0.000321059
100,7393.3,0.62318,0.40632,0.95252,0.88746,0.81852,0.88656,0.69002,0.73868,0.4944,1.00016,0.000315059,0.000315059,0.000315059
101,7470.2,0.6198,0.40072,0.95446,0.89592,0.81595,0.88574,0.69162,0.72976,0.49519,1.00184,0.00030906,0.00030906,0.00030906
102,7544.8,0.61732,0.39873,0.9564,0.89777,0.81216,0.88663,0.6939,0.73754,0.49299,1.00657,0.000303061,0.000303061,0.000303061
103,7618.16,0.61025,0.39645,0.95344,0.88691,0.81391,0.88411,0.68901,0.73849,0.49365,1.00981,0.000297061,0.000297061,0.000297061
104,7691.69,0.61673,0.40274,0.9495,0.88117,0.82245,0.88357,0.68885,0.73323,0.49602,1.00054,0.000291062,0.000291062,0.000291062
105,7766.18,0.60467,0.3897,0.94914,0.89803,0.82091,0.88477,0.69459,0.72955,0.48595,0.99934,0.000285062,0.000285062,0.000285062
106,7839.77,0.60651,0.39064,0.94551,0.88688,0.81988,0.88119,0.68882,0.7419,0.49133,1.00736,0.000279063,0.000279063,0.000279063
107,7914.77,0.60094,0.38482,0.94054,0.88696,0.81911,0.88205,0.68981,0.73629,0.49015,1.00071,0.000273064,0.000273064,0.000273064
